AnnotatorID,protocol,login,,,,,,,
Human_c010,ESA2,engdeu6e20,,,,,
Human_c010,ESA2,engdeu6e21,,,,,
Human_c013,GEMBA2,engdeu6f01,,,,,
Human_c013,GEMBA2,engdeu6f02,,,,,
Human_c013,GEMBA2,engdeu6f03,,,,,
Human_c018,GEMBA2,engdeu6f04,,,,,
Human_c018,GEMBA2,engdeu6f05,,,,,
Human_c011,GEMBA2,engdeu6f06,,,,,
Human_c011,GEMBA2,engdeu6f07,,,,,
Human_c011,GEMBA2,engdeu6f08,,,,,
Human_c004,GEMBA2,engdeu6f09,,,,,
Human_c004,GEMBA2,engdeu6f0a,,,,,
Human_c004,GEMBA2,engdeu6f0b,,,,,
Human_c004,GEMBA2,engdeu6f0c,,,,,
Human_c007,GEMBA2,engdeu6f0d,,,,,
Human_c007,GEMBA2,engdeu6f0e,,,,,
Human_c007,GEMBA2,engdeu6f0f,,,,,
Human_c007,GEMBA2,engdeu6f10,,,,,
Human_c014,GEMBA2,engdeu6f11,,,,,
Human_c014,GEMBA2,engdeu6f12,,,,,
Human_c014,GEMBA2,engdeu6f13,,,,,
Human_c014,GEMBA2,engdeu6f14,,,,,
Human_c001,GEMBA2,engdeu6f15,,,,,
Human_c001,GEMBA2,engdeu6f16,,,,,
Human_c001,GEMBA2,engdeu6f17,,,,,
Human_c001,GEMBA2,engdeu6f18,,,,,
Human_c016,GEMBA2,engdeu6f19,,,,,
Human_c018,GEMBA2,engdeu6f1a,,,,,
Human_c018,GEMBA2,engdeu6f1b,,,,,
Human_c020,GEMBA2,engdeu6f1c,,,,,
Human_c020,GEMBA2,engdeu6f1d,,,,,
Human_c020,GEMBA2,engdeu6f1e,,,,,
Human_c002,GEMBA2,engdeu6f1f,,,,,
Human_c002,GEMBA2,engdeu6f20,,,,,
Human_c002,GEMBA2,engdeu6f21,,,,,
