https://rogrundk.appraise.cf/campaign-status/240315rc5ESA/

|       username|active|annotations|      first_modified|       last_modified|annotation_time|   quality|
|     engdeu680a|     1|         71| 2024-03-19 16:52:21| 2024-03-19 17:10:39|         00h03m|  0.005227|
|     engdeu681d|     1|         72| 2024-03-22 18:27:06| 2024-03-22 21:05:26|         01h08m|  0.000016|
|     engdeu6819|     1|         72| 2024-03-21 14:17:29| 2024-03-21 15:34:20|         00h39m|  0.000537|
|     engdeu680f|     1|         73| 2024-03-21 09:01:39| 2024-03-21 10:02:29|         00h20m|  0.000018|
|     engdeu680e|     1|         73| 2024-03-20 10:06:10| 2024-03-20 21:20:27|         00h03m|  0.000148|
|     engdeu680d|     1|         73| 2024-03-20 08:29:16| 2024-03-20 08:58:25|         00h06m|  0.117526|
|     engdeu6809|     1|         73| 2024-03-19 16:12:27| 2024-03-19 16:51:56|         00h03m|  0.003305|
|     engdeu6806|     1|         73| 2024-03-20 17:44:18| 2024-03-20 19:43:37|         00h50m|  0.000038|
|     engdeu681e|     1|         74| 2024-03-22 06:44:53| 2024-03-22 09:03:44|         00h44m|  0.000015|
|     engdeu6812|     1|         74| 2024-03-20 16:26:02| 2024-03-20 19:33:43|         01h45m|  0.154839|
|     engdeu6814|     1|         76| 2024-03-21 11:10:17| 2024-03-21 14:42:30|         01h18m|  0.054650|
|     engdeu6820|     1|         77| 2024-03-21 18:02:17| 2024-03-21 18:20:32|         00h01m|  0.511535|
|     engdeu6811|     1|         77| 2024-03-22 12:44:27| 2024-03-23 10:43:18|         00h14m|  0.000449|

https://rogrundk.appraise.cf/campaign-status/240315rc5MQM/

|       username|active|annotations|      first_modified|       last_modified|annotation_time|   quality|
|       himatsus|     1|          0|               Never|               Never|            n/a|       n/a|
|     engdeu6a21|     1|         51| 2024-03-21 08:21:11| 2024-03-21 21:04:09|         01h34m|  0.011520|
|     engdeu6a01|     1|         58| 2024-03-19 11:52:08| 2024-03-20 17:12:17|         00h45m|  0.019409|
|     engdeu6a1f|     1|         62| 2024-03-22 17:04:42| 2024-03-22 20:51:39|         00h10m|  0.000044|
|     engdeu6a05|     1|         62| 2024-03-25 12:49:45| 2024-03-26 02:00:39|         00h33m|  0.000495|
|     engdeu6a16|     1|         64| 2024-03-22 07:39:33| 2024-03-22 14:31:32|         00h24m|  0.000014|
|     engdeu6a03|     1|         64| 2024-03-20 21:09:12| 2024-03-20 22:26:26|         00h03m|  0.000190|
|     engdeu6a1c|     1|         65| 2024-03-21 21:00:45| 2024-03-21 23:35:56|         01h05m|  0.008303|
|     engdeu6a1a|     1|         65| 2024-03-20 05:41:50| 2024-03-20 08:48:17|         00h23m|  0.000675|
|     engdeu6a15|     1|         65| 2024-03-22 07:43:09| 2024-03-22 11:10:26|         00h08m|  0.005163|
|     engdeu6a02|     1|         65| 2024-03-20 18:04:23| 2024-03-20 21:08:16|         00h08m|  0.001866|
|     engdeu6a13|     1|         66| 2024-03-23 07:17:31| 2024-03-23 16:31:36|         00h05m|  0.000632|
|     engdeu6a08|     1|         66| 2024-03-19 18:43:54| 2024-03-19 19:28:13|         00h02m|  0.000396|
|     engdeu6a1b|     1|         67| 2024-03-20 20:39:15| 2024-03-21 19:05:05|         01h14m|  0.007566|
|     engdeu6a10|     1|         67| 2024-03-23 19:01:05| 2024-03-24 20:56:20|         00h31m|  0.004018|
|     engdeu6a18|     1|         68| 2024-03-21 02:38:48| 2024-03-21 06:44:54|         00h21m|  0.001101|
|     engdeu6a07|     1|         68| 2024-03-19 13:01:06| 2024-03-19 16:07:09|         00h10m|  0.002133|
|     engdeu6a04|     1|         69| 2024-03-25 19:14:09| 2024-03-25 21:15:58|         00h17m|  0.010279|
|     engdeu6a17|     1|         70| 2024-03-21 22:02:07| 2024-03-22 12:52:20|         00h44m|  0.000955|
|     engdeu6a0b|     1|         70| 2024-03-19 21:22:20| 2024-03-19 23:32:08|         00h08m|  0.000174|
|     engdeu6a0c|     1|         71| 2024-03-20 12:59:51| 2024-03-20 14:57:33|         00h06m|  0.000666|
|     engdeu6a0a|     1|         71| 2024-03-19 16:50:08| 2024-03-19 21:19:54|         01h18m|  0.053916|
|     engdeu6a1d|     1|         72| 2024-03-22 17:04:16| 2024-03-23 08:37:40|         00h37m|  0.000038|
|     engdeu6a19|     1|         72| 2024-03-21 07:10:11| 2024-03-21 10:51:16|         00h29m|  0.006291|
|     engdeu6a0f|     1|         73| 2024-03-22 16:09:28| 2024-03-22 19:43:52|         00h10m|  0.000174|
|     engdeu6a0e|     1|         73| 2024-03-22 17:01:23| 2024-03-22 19:02:33|         00h17m|  0.000159|
|     engdeu6a0d|     1|         73| 2024-03-19 04:08:57| 2024-03-19 06:37:19|         00h34m|  0.021586|
|     engdeu6a09|     1|         73| 2024-03-19 23:45:37| 2024-03-20 03:09:56|         00h04m|  0.000036|
|     engdeu6a06|     1|         73| 2024-03-22 18:57:36| 2024-03-26 15:46:11|         00h27m|  0.000033|
|     engdeu6a1e|     1|         74| 2024-03-20 16:48:54| 2024-03-21 07:39:15|         00h41m|  0.000205|
|     engdeu6a12|     1|         74| 2024-03-23 21:26:35| 2024-03-24 16:39:58|         01h22m|  0.009703|
|     engdeu6a14|     1|         76| 2024-03-21 20:10:41| 2024-03-22 07:41:12|         00h29m|  0.005030|
|     engdeu6a20|     1|         77| 2024-03-21 23:42:59| 2024-03-23 01:51:46|         00h25m|  0.005850|
|     engdeu6a11|     1|         77| 2024-03-22 19:46:32| 2024-03-22 22:24:58|         00h02m|  0.343475|
